,CATEGORY,TAGS,ga_txt_cleaned
1684,Testing,ant|example|testing,cargo sample ant configuration test
24347,Logging / Monitoring,logging,logger
3033,Example,application|example|portlet|web|webapp,liferay face demos primeface user portlet
1643,Build,ant,cargo ant
8821,Containerization,bridge|service|vertx|docker|io|discovery,vertx service discovery bridge docker link
23303,Testing,junit|testing,jamon junit
16370,Machine Learning,deep-learning|machine-learning,thoughtwork deeplearne differentiableany
26593,Messaging / Integration,queue|spring,rocketmq spring boot starter
18038,Example,example,example
11420,Build Automation Tool Plugins,build|build-system|maven|plugin,fau cs osr ptk maven plugin
974,Testing,analysis|code-coverage|coverage,emma
2111,Web Applications,application|camel|example|jms|queue|spring|web|webapp,wildfly camel example jms tx spring
2226,Web Applications,application|client|web|webapp,absa spline client web
11251,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
17368,IDE Modules,eclipse|plugin,eclipselab cdo
2169,Web Applications,application|camel|web|webapp,wildfly camel webapp
9300,Build Automation Tool Plugins,build|build-system|ejb|maven|plugin,openejb maven plugin
6296,Web Applications,application|web|webapp,picketlink employee sig
21919,Languages / Compiler / Interpretation,groovy|jvm|language,groovy all
18052,Example,example,example
19554,Example,example|hazelcast,hazelcast jet example
9252,Build Automation Tool Plugins,build|build-system|doc|maven|plugin,metaeffekt documentation maven plugin
13707,Application-/ Web-Server,camel|jetty|server|webserver,camel quarkus jetty common parent
14013,Testing,chart|eclipse|model|testing|visualization,dentrassi neoscada hmi scada vi chart model test
28284,Testing,testing|accumulo|iterator,accumulo iterator test harness
3978,Web Applications,application|http|web|webapp,beangle http
10190,Build Automation Tool Plugins,build|build-system|maven|plugin,sling jspc maven plugin
6240,Web Applications,application|web|webapp,openscore webapp
623,Caching,amazon|aws|cache|client|sdk,amazonaw aw java sdk
4578,Web Applications,application|platform|web|webapp,openurp platform ws
22362,Languages / Compiler / Interpretation,javax|specs|spring|standard,javax el springsource
26119,OSGi,osgi|service,osgi namespace service
15300,Job Scheduling,cron,alonsodomin cron decline
19645,Example,example|image|io,fabric jube image quickstart war
19919,Example,example|io|jms|queue|tracing,tracee example jms
20899,Example,example|spring,spring boot sample
23655,Stream Processing,kafka|streaming,nav syfo sm common kafka
25925,Natural Language Processing,nlp,rholder nlp fast tag
15132,Database,couchdb,impetus client kundera couchdb
16619,Dependency Injection,dependency-injection,inject
22901,Build Automation Tool Plugins,json|maven|plugin|schema|tools,anwiba common tool schema json
28392,Utilities,validation,validator
3562,Web Applications,application|example|web|webapp,jresearch demo
24488,Logging / Monitoring,logging,rumati log muffero slfj
16797,DNS Libraries,dns,lightbend lagom scala service locator dns
22493,Distributed Communication,jboss|transaction,jboss
27069,Testing,scala|testing,scalacheck scalachecksjs
843,Code analyses,analysis,analysis
2447,Web Applications,application|device|management|plugin|web|webapp,wso carbon devicemgt plugin device mgt iot api
290,Logging / Monitoring,actor|akka|concurrency|distributed|logging|slf4j|typesafe,typesafe akka slfj
14255,Application Layer Protocol Integration,client|http,httpcomponent client httpclient win
14360,Application Layer Protocol Integration,client|http,ne async http client
19171,Example,example,helenu example
6290,Web Applications,application|web|webapp,picketlink employee
21121,Example,example|webservice,tascape reactor demo webservice
22192,Build Automation Tool Plugins,io|maven|repository,get coursier
